year,dispnum,midloc2_location,midloc2_measuringpoint,midloc2_xlongitude,midloc2_ylatitude,midloc2_precision,midloc2_howobtained,midloc2_precision_comment,midloc2_general_comment,priogrid_cell,midloc11_location,midloc11_midlocmeasuringpoint,midloc11_latitude,midloc11_longitude,midloc11_precision
1969,1325,Congo-DRC Border,Midpoint of shared (national) border,16.2501,-2.10784,5,ArcGIS and cShapes,Point along a line,,132830,Zaire/Congo border,"Kinshasa, DRC",-4.32972,15.315,4
1969,1326,"Cabinda, Angola","Cabinda, Angola",12.1927,-5.57752,1,latlong.net,Precise location text,,137862,Cabinda (Angola),Cabinda,-5,12.5,1
1969,1360,Cambodia (Eastern [> ADM1]),Centroid of > ADM1,106.617,13.2301,5,ArcGIS and GADM,> ADM1,,110291,Eastern Cambodia,"Chbar, Cambodia",12.7667,107.167,3
1969,1385,Guinea Bissau-Senegal Border,Midpoint of shared (national) border,-15.2665,12.6561,5,ArcGIS and cShapes,Point along a line,Uses 1974 data,111247,,md pt of guinea-bissau-sen border,12.654,-14.933,4
1969,1399,Caprivi Strip,Caprivi Strip,22.5689,-17.9802,5,latlong.net,> ADM1,,155167,Caprivi Strip,"Caprivi Strip, Namibia",-18,23,3
1969,1406,Equatorial Guinea,Centroid of ADM0,10.342,1.71234,6,ArcGIS and cShapes,State,Dual event; ADM1s not contiguous,127058,Santa Isabel and Bata,"bata, eq guinea",2.02528,9.825,1
1969,1717,Gibraltar,Gibraltar,-5.35358,36.1408,1,latlong.net,Precise location text,,77427,Gibraltar,"Gibraltar, UK",36.1333,-5.35,3
1969,2016,Mekong River,Midpoint of river,105.871,14.6024,5,ArcGIS and Natural Earth Data,Point along a line,,108129,Mekong river,"Mekong river, Vietnam",10.25,105.917,4
1969,2098,India (Sikkim [ADM1]),Centroid of ADM1,88.4729,27.5715,4,ArcGIS and GADM,ADM1,,89454,Sikkim,"Sikkim, India",27.75,88.5,3
1969,2108,Iran (Kordestan [ADM1]),Centroid of ADM1,46.9615,35.7181,4,ArcGIS and GADM,ADM1,,78011,Kordestan,"Kordestan, Iran",37,44,3
1969,2239,Guyana-Venezuela Border,Midpoint of shared (national) border,-60.4302,6.93136,5,ArcGIS and cShapes,Point along a line,,120037,Venezuelan-Guyana border,"Bochinche, Venezuela",7.56667,-60.7333,4
1969,2373,"Najran, Saudi Arabia","Najran, Saudi Arabia",44.2289,17.5656,1,latlong.net,Precise location text,,103926,Najran S.Arabia,"Najran, Saudi Arabia",18,45.6667,1
1969,2633,"Cooch Behar, India","Cooch Behar, India",89.4459,26.3357,1,latlong.net,Precise location text,,91616,"Cooch Behar, West Bengal","Cooch Behar, India",26.3167,89.4333,1
1969,2634,India (Northern [> ADM1]),Centroid of > ADM1,76.7372,28.5088,5,ArcGIS and GADM,> ADM1,,88071,Air space above Northern India,"Dehra Dun, India",30.3167,78.0333,3
1969,2635,India (Malda [ADM2]),Centroid of ADM2,88.0877,25.1357,3,ArcGIS and GADM,ADM2,,93054,"Malda district, West Bengal","Malda, India",25,88,3
1969,2936,China-North Vietnam Border (Territorial Waters),Midpoint of shared (territorial water) border,108.096,21.4494,5,ArcGIS and Marine Regions,Point along a line,,98774,Gulf of Torlsin,waters near china & viet,19.7942,107.624,3
1969,2937,Shikotan Island,Shikotan Island,146.747,43.7936,2,latlong.net,Island,,66291,Shikotan Island,"Shikotan, Russia",43.7833,146.75,3
1969,2938,Gulf of Siam,Gulf of Siam,101.343,9.71212,4,latlong.net,Gulf,,115400,Gulf of Siam,Gulf of Siam,10,102,3
1969,3173,Lebanon-Syria Border,Midpoint of shared (national) border,36.4156,34.045,5,ArcGIS and cShapes,Point along a line,,80230,Lebanonese/Syrian border,"Riyaq, Lebanon",33.85,36.0175,4
1969,3206,Angola-DRC Border,Midpoint of shared (national) border,19.5347,-7.01493,5,ArcGIS and cShapes,Point along a line,Uses 1975 data; Ignores enclave,140037,Zaire/Angola border,"Dundo, Angola",-7.38333,20.8333,4
1970,1039,Jordan-Syria Border,Midpoint of shared (national) border,37.2913,32.576,5,ArcGIS and cShapes,Point along a line,,82392,,SYR-JOR border,32.38,37.33,4
1970,1068,"Jerusalem, Israel","Jerusalem, Israel",35.2137,31.7683,8,latlong.net,Capital,,83828,Israel,"Jerusalem, Israel",31.75,35,5
1970,1605,Cambodia (Preah Vihear [ADM1]),Centroid of ADM1,105.008,13.798,4,ArcGIS and GADM,ADM1,,109568,Preah Vihear,"Preah Vihear, Cambodia",14.4,104.683,1
1970,2017,Mekong River,Midpoint of river,105.871,14.6024,5,ArcGIS and Natural Earth Data,Point along a line,,108129,Mekong river,"Mekong river, Vietnam",10.25,105.917,4
1970,2109,"Baghdad, Iraq","Baghdad, Iraq",44.3615,33.3128,1,latlong.net,Precise location text,,81606,Baghdad,"Baghdad, Iraq",33.3386,44.3939,1
1970,2221,"Yerevan, Armenia","Yerevan, Armenia",44.4991,40.1792,8,latlong.net,Capital,,71526,Armenia,Yerevan,40.1833,44.5,5
1970,2240,Anacoco Island,Anacoco Island,-61.1436,6.72528,2,Point estimate and latlong.net,Island,,120035,Ankoko island,"Ankoko Island, Venezuela",6.71667,-61.1333,3
1970,2942,El Salvador-Guatemala Border (Territorial Waters),Midpoint of shared (territorial water) border,-90.1801,13.6571,5,ArcGIS and Marine Regions,Point along a line,,109977,waters near Guatemala,Bahia de Amatique,13.7358,-90.1392,4
1970,3387,Suez Canal,Timsah Lake,32.2909,30.5735,5,latlong.net,Point along a line,,85262,Suez Canal,"Suez, Egypt",29.9167,32.55,4
1971,1046,Israel-Syria Border,Midpoint of shared (national) border,35.8546,33.0388,5,ArcGIS and cShapes,Point along a line,,81669,,ISR-SYR border,32.945,35.84,4
1971,1081,Jordan-Syria Border,Midpoint of shared (national) border,37.2913,32.576,5,ArcGIS and cShapes,Point along a line,,82392,Jordan-Syria border,"Imtan, Syria",32.4,36.8167,4
1971,1107,North Yemen-South Yemen Border,Midpoint of shared (national) border,45.1159,13.8285,5,ArcGIS and cShapes,Point along a line,,109688,Yemen/South Yemen Border,"San'a', Yemen",15.5,44.25,4
1971,1135,Persian Gulf,Persian Gulf,51.6834,26.7505,4,latlong.net,Gulf,,90981,Persian Gulf,Persian Gulf,27,51,5
1971,1158,Ecuador Exclusive Economic Zone,Midpoint of westernmost mainland EEZ,-84.3917,-0.875073,5,ArcGIS and Marine Regions,Point along a line,,130869,Pacific Ocean off Ecuador,"Salinas, Ecuador",-3.06667,-80.2667,4
1971,1380,Tanzania (Kagera [ADM1]),Centroid of ADM1,31.4539,-1.88039,4,ArcGIS and GADM,ADM1,,132060,Kagera Salient,"Kagera River, Tanzania",-0.95,31.7833,4
1971,1391,Mozambique-Zambia Border,Midpoint of shared (national) border,31.3928,-14.6432,5,ArcGIS and cShapes,Point along a line,Uses 1975 data,150780,Zambian-Mozambican border,"Nyanje, Zambia",-14.4,31.8,4
1971,1404,Sudan-Uganda Border,Midpoint of shared (national) border,32.314,3.68445,5,ArcGIS and cShapes,Point along a line,,124142,Sudan/Uganda border,"Nimule, Uganda",3.6,32.05,4
1971,1447,,,,,-99,,Location unclear or unspecified,,,"Bangladesh, Kashmir",Dhaka,23.723,9.40861,5
1971,1718,Romania-Russia Border,Midpoint of shared (national) border,27.1899,47.9239,5,ArcGIS and cShapes,Point along a line,,60772,,md pt of usr-rom border,48.25,26.63,4
1971,2059,Bulgaria-Yugoslavia Border,Midpoint of shared (national) border,22.5318,42.8794,5,ArcGIS and cShapes,Point along a line,,68043,Yugoslavia near Bulgarian border,"Pirot, Yugoslavia",43.1592,22.5889,4
1971,2099,India (Sikkim [ADM1]),Centroid of ADM1,88.4729,27.5715,4,ArcGIS and GADM,ADM1,,89454,Sikkim,"Sikkim, India",27.75,88.5,3
1971,2110,Iraq (Khanaqin [ADM2]),Centroid of ADM2,45.2897,34.3615,3,ArcGIS and GADM,ADM2,,80168,Khanaqin region,"Khanaqin, Iraq",34.5,45.35,3
1971,2616,Gambia-Senegal Border,Midpoint of shared (national) border,-13.8697,13.3224,5,ArcGIS and cShapes,Point along a line,,110530,Senegalese-Gambian frontier,"Banjul, Gambia",13.4531,-16.5775,4
1971,2619,"Mokambo, DRC","Mokambo, DRC",28.3491,-12.4265,2,latlong.net,Near,,147174,"Near Mokambo,Zaire","Mokambo, DRC",-12.4167,28.35,2
1971,2621,Rwanda-Uganda Border,Midpoint of shared (national) border,30.0537,-1.40806,5,ArcGIS and cShapes,Point along a line,,131338,Ugandan-Rwanda border,"Kabale, Uganda",-1.3258,30.1683,4
1971,2622,Sudan-Uganda Border,Midpoint of shared (national) border,32.314,3.68445,5,ArcGIS and cShapes,Point along a line,,124142,Ugandan-Sudanes border,"Nimule, Uganda",3.6,32.05,4
1971,2944,Baltic Sea,Baltic Sea,19.8633,58.488,5,latlong.net,Sea,,45705,Baltic Sea,Baltic Sea,56,18,5
1971,2946,Cuba-United States Border (Territorial Waters),Midpoint along shortest line between territorial waters,-81.9004,23.8593,5,ArcGIS and Marine Regions,Point along a line,,95594,waters between USA and Cuba,Straits of Florida,25,-79.75,4
1971,2947,China (Guangdong [ADM1]),Centroid of ADM1,113.415,23.3352,4,ArcGIS and GADM,ADM1,,95904,"Kwangtung Province, China",Kwangtung,23,113,3
1971,3659,"Sinai, Egypt","Sinai, Egypt",34,29.5,5,latlong.net,> ADM1,,86705,Sinai Desert,"Sinai, Egypt",29.5,34,3
1972,354,Iceland Territorial Waters,Point along territorial waters nearest North Sea,-12.8121,64.5558,5,"ArcGIS, latlong.net, and Marine Regions",Point along a line,,36360,North Sea-off of Iceland,"Hvalnes, Iceland",64.4,-14.55,4
1972,602,Ecuador Exclusive Economic Zone,Midpoint of westernmost mainland EEZ,-84.3917,-0.875073,5,ArcGIS and Marine Regions,Point along a line,,130869,Pacific Ocean off Equador,Manta,-0.95,-80.7333,4
1972,1104,Oman-South Yemen Border,Midpoint of shared (national) border,52.5582,17.8217,5,ArcGIS and cShapes,Point along a line,Uses 2015 data,103943,Oman/South Yemen border,"Habarut, Yemen",17.3,52.7333,4
1972,1118,Morocco,Midpoint of coastline,-8.34876,33.3276,5,ArcGIS and cShapes,Point along a line,,81741,Off Moroccan coast,Rabat,34.05,-6.76667,4
1972,1340,"Mbanie Island, Gabon","Mbanie Island, Gabon",9.3791,0.81068,2,latlong.net,Island,,128496,Mbanie and Locotiers islands,"owendo, gabon",0.321389,9.53722,3
1972,1364,Mozambique-Tanzania Border,Midpoint of shared (national) border,37.7783,-11.5669,5,ArcGIS and cShapes,Point along a line,Uses 1975 data,146473,Tanzanian-Mozambican border,"Chamba, Tanzania",-11.5833,36.9667,4
1972,1381,Tanzania-Uganda Border,Midpoint of shared (national) border,32.1947,-1.00008,5,ArcGIS and cShapes,Point along a line,,131342,,md pt TAZ-UGA border,-1.121,32.144,4
1972,1389,Guinea Bissau-Senegal Border,Midpoint of shared (national) border,-15.2665,12.6561,5,ArcGIS and cShapes,Point along a line,Uses 1974 data,111247,Senegal-Port.Guinea border,"Koukany, Senegal",12.9333,-14.0833,4
1972,1390,Mozambique-Zambia Border,Midpoint of shared (national) border,31.3928,-14.6432,5,ArcGIS and cShapes,Point along a line,Uses 1975 data,150780,Zambian-Mozambican border,"Nyanje, Zambia",-14.4,31.8,4
1972,1612,Iraq-Kuwait Border,Midpoint of shared (national) border,47.0836,29.8809,5,ArcGIS and cShapes,Point along a line,,86652,,md point of IRQ-KUW border,29.7,47.24,4
1972,2138,Libya-Sudan Border,Midpoint of shared (national) border,25.0009,20.2518,5,ArcGIS and cShapes,Point along a line,,100368,Libya-Sudan border,"Jabal Kissu, Sudan",21.5833,25.15,4
1972,2319,Belize Territorial Waters,Centroid of territorial waters,-87.6937,16.7176,3,ArcGIS and Marine Regions,Territorial waters,,105662,Belize's Carribean Sea,Glover Reef,16.8,-87.7833,4
1972,2615,"Bujumbura, Burundi","Bujumbura, Burundi",29.3599,-3.36138,8,latlong.net,Capital,,134216,Burundi,Bujumbura,-3.37444,29.3581,5
1972,2638,Kashmir (Line of Control),Midpoint of Line of Control,74.4843,34.7874,5,ArcGIS and GADM,Point along a line,,79426,Kashmir,Kashmir,31.3422,74.3653,3
1972,2948,North Vietnam,Midpoint of coastline,104.094,19.2248,5,ArcGIS and cShapes,Point along a line,Uses 1953 data,101646,near coast of North Vietnam,Gulf of Tonkin,20,108,4
1972,2949,Bering Sea,Bering Sea,-178.139,56.9073,5,latlong.net,Sea,,48269,Bering Sea,Bering Sea,60,-175,5
1973,353,Unspecified,,,,-99,,Location unclear or unspecified,,,.,,,,7
1973,1043,"Sinai, Egypt","Sinai, Egypt",34,29.5,5,latlong.net,> ADM1,,86705,Sinai peninsula,"Sinai, Egypt",29.5,34,3
1973,1105,Oman-South Yemen Border,Midpoint of shared (national) border,52.5582,17.8217,5,ArcGIS and cShapes,Point along a line,Uses 2015 data,103943,Oman/South Yemen border,"Habarut, Yemen",17.3,52.7333,4
1973,1119,Morocco,Midpoint of coastline,-8.34876,33.3276,5,ArcGIS and cShapes,Point along a line,,81741,Coast of Morocco,Tangiers,35.7847,-5.81278,4
1973,1200,"Islamabad, Pakistan","Islamabad, Pakistan",73.0931,33.7294,1,latlong.net,Precise location text,,80864,Islamabad,"Islamabad, Pakistan",33.7,73.1667,1
1973,1342,Malawi-Mozambique Border,Midpoint of shared (national) border,35.2699,-16.3259,5,ArcGIS and cShapes,Point along a line,Uses 1975 data,152948,Mozambican-Malawian border,"Milange, Mozambique",-16.0986,35.77,4
1973,1362,Burundi-Rwanda-Tanzania Border,"Intersection of Burundi, Rwanda, and Tanzania borders",30.5733,-2.39916,5,ArcGIS and cShapes,Point along a line,,132779,meeting pt of RWA-BUI-TAZ border,-2.468,30.667,2,5
1973,1367,Kenya-Uganda Border,Midpoint of shared (national) border,34.9566,1.58421,5,ArcGIS and cShapes,Point along a line,,127027,Ugandan-Kenyan border,"Kongelai, Kenya",1.46667,35.0167,4
1973,1386,Guinea-Guinea Bissau Border,Midpoint of shared (national) border,-13.8519,11.671,5,ArcGIS and cShapes,Point along a line,Uses 1974 data,112690,Guinea-Port Guinea border,"Cacine, Guinea-Bissau",11.1167,-15.0167,4
1973,1397,Zambia-Zimbabwe Border,Midpoint of shared (national) border,27.813,-16.9759,5,ArcGIS and cShapes,Point along a line,,153657,,zim-zam border,-17.006,27.794,4
1973,1808,Argentina-Uruguay Border,Midpoint of shared (national) border,-57.9776,-31.3705,5,ArcGIS and cShapes,Point along a line,,174766,,arg-uru border,-32.19,-57.92,4
1973,2068,"Ogaden, Ethiopia","Ogaden, Ethiopia",42.7994,9.35067,1,latlong.net,Precise location text,,116243,Ogaden,"Ogaden, Ethiopia",8,44,2
1973,2100,India (Sikkim [ADM1]),Centroid of ADM1,88.4729,27.5715,4,ArcGIS and GADM,ADM1,,89454,Sikkim,"Sikkim, India",27.75,88.5,3
1973,2712,"Ulaanbaatar, Mongolia","Ulaanbaatar, Mongolia",106.906,47.8864,8,latlong.net,Capital,,60611,Mongolia,Ulaanbaatar,47.9167,106.917,5
1973,2950,Malta Territorial Waters,Southernmost point of territorial waters,14.4108,35.5854,5,ArcGIS and Marine Regions,Point along a line,,78106,Waters south of Malta,"Valletta, Malta",35.8997,14.5147,3
1973,3215,Namibia-Zambia Border,Midpoint of shared (national) border,24.4249,-17.4801,5,ArcGIS and cShapes,Point along a line,Uses 1990 data,154370,Namibia/Zambia border,"Sesheke, Zambia",-17.75,23.3833,4
1973,3267,,,,,-99,,Location unclear or unspecified,,,Uganda/Rhodesia border,"Tabora, Tanzania",-5.66667,33.1667,4
1973,3380,Suez Canal,Timsah Lake,32.2909,30.5735,5,latlong.net,Point along a line,,85262,Suez Canal,"Suez, Egypt",29.9167,32.55,4
1973,3437,Golan Heights,Golan Heights,35.7844,33.0156,3,latlong.net,ADM2 like,,81669,Golan Heights,Golan Heights,33,35.75,3
1974,355,Paracel Islands,Paracel Islands,112.25,16.5,5,latlong.net,Island,,105982,Paracel Island,Paracel Islands,16.5,112.25,3
1974,364,China (Xinjiang [ADM1]),Centroid of ADM1,85.2036,41.112,4,ArcGIS and GADM,ADM1,,70008,Xinjiang Province,"Xinjiang, China",35.6128,111.218,3
1974,1061,Israel-Lebanon Border,Midpoint of shared (national) border,35.5057,33.1118,5,ArcGIS and cShapes,Point along a line,,81669,,ISR-LEB border,32.93,35.519,4
1974,1292,Aegean Sea,Aegean Sea,25.2686,39.0192,5,latlong.net,Sea,,73008,Aegean Sea,Aegean Sea,39,25,5
1974,1293,Cyprus,Centroid of ADM0,33.2218,35.0459,6,ArcGIS and cShapes,State,,78784,,cyprus,35.06,33.41,5
1974,1382,Tanzania-Uganda Border,Midpoint of shared (national) border,32.1947,-1.00008,5,ArcGIS and cShapes,Point along a line,,131342,,md pt TAZ-UGA border,-1.121,32.144,4
1974,1384,Gambia-Senegal Border,Midpoint of shared (national) border,-13.8697,13.3224,5,ArcGIS and cShapes,Point along a line,,110530,Senegalese-Gambian border,"Banjul, Gambia",13.4531,-16.5775,4
1974,1396,Zambia-Zimbabwe Border,Midpoint of shared (national) border,27.813,-16.9759,5,ArcGIS and cShapes,Point along a line,,153657,,zim-zam border,-17.006,27.794,4
1974,1411,Burkina Faso-Mali Border,Midpoint of shared (national) border,-3.43388,13.269,5,ArcGIS and cShapes,Point along a line,,110551,Malian-Burkinabe border,"Kiri, Mali",13.5333,-4.1,3
1974,1427,"Ogaden, Ethiopia","Ogaden, Ethiopia",42.7994,9.35067,1,latlong.net,Precise location text,,116243,Ogaden,"Ogaden, Ethiopia",8,44,2
1974,1481,Iceland Territorial Waters,Point along territorial waters nearest North Sea,-12.8121,64.5558,5,"ArcGIS, latlong.net, and Marine Regions",Point along a line,,36360,North Sea off Iceland,"Hvalnes, Iceland",64.4,-14.55,4
1974,2112,"Badrah Spend, Iraq","Badrah Spend, Iraq",45.9343,33.1158,1,latlong.net,Precise location text,,81609,Badrah,"Badrah, Iraq",33.1206,45.9575,1
1974,2136,Tanzania (Kagera [ADM1]),Centroid of ADM1,31.4539,-1.88039,4,ArcGIS and GADM,ADM1,,132060,Kagera Salient,"Kagera River, Tanzania",-0.95,31.7833,4
1974,2173,Aegean Sea,Aegean Sea,25.2686,39.0192,5,latlong.net,Sea,,73008,Aegean see,Aegean Sea,39,25,3
1974,2191,Yellow Sea,Yellow Sea,123.796,35.4943,5,latlong.net,Sea,,78565,Yellow Sea,Yellow Sea,36,124,5
1974,2713,Mongolia,Centroid of ADM0,103.083,46.8353,6,ArcGIS and cShapes,State,"China, Mongola, Russia borders meet in two places",62124,"pt where borders of usr, chn, mon meet",,49.95,116.95,2
1974,2951,"Guantanamo, Cuba","Guantanamo, Cuba",-75.2129,20.14,1,latlong.net,Precise location text,,100567,"Guantanimo, Cuba",Guantanamo,20.1453,-75.2061,1
1974,3174,"Jerusalem, Israel","Jerusalem, Israel",35.2137,31.7683,8,latlong.net,Capital,,83828,Israel,"Jerusalem, Israel",31.75,35,5
1974,3217,Unspecified,,,,-99,,Location unclear or unspecified,,,.,,,,7
1974,3227,Namibia-Zambia Border,Midpoint of shared (national) border,24.4249,-17.4801,5,ArcGIS and cShapes,Point along a line,Uses 1990 data,154370,Nambia/Zambia border,"Sesheke, Zambia",-17.5167,24.85,4
1974,3438,Golan Heights,Golan Heights,35.7844,33.0156,3,latlong.net,ADM2 like,,81669,Golan Heights,Golan Heights,33,35.75,3
1975,356,Cambodia Territorial Waters,Centroid of territorial waters,102.786,10.4762,3,ArcGIS and Marine Regions,Territorial waters,,114683,Waters off Cambodia,Chhung O,12.6,106.517,4
1975,358,India (Tawang [ADM2]),Centroid of ADM2,91.9183,27.6557,3,ArcGIS and GADM,ADM2,,89461,NEFA Twang Tract,"tawang, india",27.6731,92.1647,3
1975,360,Belize-Guatemala Border,Midpoint of shared (national) border,-89.1656,16.6986,5,ArcGIS and cShapes,Point along a line,uses 1981 data.,105659,Belize-Guatemalan border,"Barranco, Belize",16,-88.9167,4
1975,619,High Seas-North Sea near Iceland,Rockall Rise,-14,59,5,MIDLOC1.1,Sea,,44278,High Seas-North Sea near Iceland,Rockall Rise,59,-14,5
1975,1106,Oman-South Yemen Border,Midpoint of shared (national) border,52.5582,17.8217,5,ArcGIS and cShapes,Point along a line,Uses 2015 data,103943,South Yemen/Oman border area,"Habarut, Yemen",17.3,52.7333,4
1975,1189,Brazil-Guyana Border,Midpoint of shared (national) border,-59.7375,2.13478,5,ArcGIS and cShapes,Point along a line,,126518,Brazil-Guyana border,"Raad, Guyana",2.61667,-59.9,4
1975,1231,Cambodia-Thailand Border (Territorial Waters),Midpoint of shared (territorial water) border,102.771,11.5044,5,ArcGIS and Marine Regions,Point along a line,,112523,"Border, Gulf of Thailand",Gulf of Thailand,10,102,3
1975,1290,"Nicosia, Cyprus","Nicosia, Cyprus",33.3823,35.1856,8,latlong.net,Capital,,78784,Cyprus,Nicosia,35.1667,33.3667,5
1975,1331,Algeria-Morocco Border (Territorial Waters),Midpoint of shared (territorial water) border,-2.2027,35.1914,5,ArcGIS and Marine Regions,Point along a line,,78873,,mor-alg border by med sea,35.04,-1.99,4
1975,1334,"Gaborone, Botswana","Gaborone, Botswana",25.9231,-24.6282,8,latlong.net,Capital,,165173,Botswana,Gaborone,-24.6464,25.9119,5
1975,1376,Laos-Thailand Border,Midpoint of shared (national) border,102.671,17.8317,5,ArcGIS and cShapes,Point along a line,,103883,Thai/Laos boader,Viangchan,17.9667,102.6,4
1975,1428,"Ogaden, Ethiopia","Ogaden, Ethiopia",42.7994,9.35067,1,latlong.net,Precise location text,,116243,Ogaden,"Ogaden, Ethiopia",8,44,2
1975,1430,Mozambique-Zimbabwe Border,Midpoint of shared (national) border,32.898,-18.5246,5,ArcGIS and cShapes,Point along a line,,156547,,moz-zim border,-19.18,32.93,4
1975,1435,"Phnom Penh, Cambodia","Phnom Penh, Cambodia",104.892,11.5449,8,latlong.net,Capital,,112447,Cambodia,Phnom Penh,11.55,104.85,5
1975,1441,Unspecified,,,,-99,,Location unclear or unspecified,,,.,,,,7
1975,1450,Indonesia (East Timor [ADM1]),Centroid of ADM1,125.852,-8.82025,4,ArcGIS and GADM,ADM1,,141929,East TImor,"Baukau, Timor",-8.47111,126.458,3
1975,1472,North Korea-South Korea Border,Midpoint of shared (national) border,127.507,38.3093,5,ArcGIS and cShapes,Point along a line,,74253,,PRK-KOR border,38.27,127.3,4
